,content,score
0,"Min saya mau KOMPLEN !!! saya beli barang tapi saya BATALKAN karena penjualnya tidak ada RESPON untuk tanggal 27 November melalui transfer ATM BCA, tapi sampe sekarang dan saat ini UANG SAYA BELUM DI KEMBALIKAN, tolong di proses dan tanggung jawab !!!",1
1,"Kenapa sih,ketika Mau membeli kelas prakerja Di sini notifikasi ulasan gk pernah bisa Di uptade, Kok beda banget Sama di platform. Yaaah gara-gara itu, Saya tidak bisa membeli kelas Lagi. Tolong donk perbaiki lagiiii Dan atasi segera?!!!!!!",2
2,"hallo tokopedia, kok bisa ya nomor handphone orang bisa dipakai buat daftar/login untuk akun tokopedia orang lain?!! karena nomor pribadi saya ada yang memakai, dan baruasan saya cek dia sudah member silver. padahal saya belum pernah daftar/punya akun tokopedia (baru mau daftar ini). dan tidak perna meng-klik apapun apabila ada sms tidak dikenal. ini takutnya dia memakai untuk hal-hal yang merugikan. tolong dong diperbaiki lagi keamanan nya. dan ini bagaimana untuk memblokir nya ya. thx",1
3,"Baru kali ini saya mengalami kejadian cashback tidak saya dapatkan. Padahal sebelum cek out ada keterangan cashback ovo poin 20rb, tetapi setelah pesanan selesai saya tidak mendapatkan cashback ovo poin. Mendingan di info dari awal sebelum cek out, misal di block aja (cashback tidak bisa digunakan) biar tidak mengecewakan. Sayangnya tidak bisa kirim gambar bukti transaksi.",1
4,"Terima kasih sudah membantu dan menjadi penghubung untuk membeli pelatihan prakerja.. Kenapa sampai saat ini sertifikatnya belum kluar ya? Padahalkan saya sudah membeli pelatihan dan mengikuti pelatihan juga. Truz say juga sudah memberikan ulasan. Kenapa sertifikatx masih belum kluar? Mohon penjelasannya, terima kasih sebelumnya",5
5,"kenapa y...saya beli untuk yg pertama kali sudah bayar,langsung di batalkn olwh tokopedia? si keteranganya,terindimasi manipulasi, mwlanggar s&k.yg bener saja,,segitunya sama member baru....,,,y sudah lah...saldo yg di refund langsung saya tarik lagi,,kecewa daftar di sini...👎👎",1
6,"Toko pedia sudah bagus tapi saya kecewa dengan jasa expidisi ""anter aja"".. Pengiriman saya di ""reschedule"" dengan alasan toko/kantor tutup (jm 18.00) padahal itu resto dan buka sampe jm 22.00.. Trs barang selanjut nya di ""reschedule"" lagi dengan alasan masalah ""operasional"" tolong sampaikan sama pihak anter aja",5
7,"Saya pelanggan tokopedia , saya sering tekan pesanan lebih dr 1 dan masuk keranjang kmd baru dibayar . Saat sdh dibayar saya baru sadar ternyata di keranjang pesanan saya berubah dr bbrp menjadi 1 dan saya sdh sering komplain ke penjualnya juga kenapa saya pesan 3 kok dikirim 1 ternyata setelah saya teliti mmg jumlah pesanan berubah saat di keranjang. Kenapa aplikasi tokopedia tdk sebagus dulu, penukaran point juga sudah tdk ada . Dan kenapa harus ada pembatasan jumlah quota bebas ongkir .",3
8,Saya sering belanja ditokopedia sering dpt cashback dan ga masalah..skrng dpt cashback 500rb malah tidak dpt dengan alasan sy melakukan pelanggaran dll tanpa dikasih tau alasannya..segitu bnyk transaksi tp baru kali ini ada masalah...klo tau sy ada yg salah ga akan mungkin sy beli barang semahal itu..sy baru sangat kecewa sprt ini...,1
9,Hallo saya di NTT tpi aplikasi ini memudahkn skali berbelanja online. Mantul...!!!! Mudah sekali berbelanja di sini Pelayanan cepat dan pasti murah dibndingkan belanja lgsung di toko.sdh murah ada banyak promo dan hadiah potongan ongkir dll.,5
10,"Aku Suka sama tokopedia tapi tetep setia tapi jujur sekarang banyak keluhan, kualitas menurun banget malah si oren makin naik iklan masih ada yang gratis setiap,terus banyak pembatalan otomatis padahal gak pake kupon apapun tidak melanggar sudah membaca peraturan secara seksama banget ,tapi ketika di tanya ke cs ko bisa pembatalan ,jawaban selalu memanipulasi dana padahal yang beli gak tau siapa 😊, please dong tingkatkan lagi biar yang make Tokopedia kaya si oren sama si biru 🙏🙏🙏",5
11,"Semakin lama semakin parah. Ada dua order yang saya buat, yang satu sudah diproses dan diantar TAPI SAMA SEKALI TIDAK SAYA TERIMA, apaan nih di app ditulis sudah sampai, sampai dimana???? Dan yang satu lagi malah tidak di respon seller sama sekali dan saat ingin saya batalkan malah disuruh nunggu respon seller, klo seller aja kgk respon orderan gimana mau respon pembatalan??? Dan yang membuat hal lebih buruk, pihak TokPed malah memihak seller. TOKPED GET SUCC",1
12,"Aku belanja dishopee semua barang yang kubeli Dateng sedangkan Tokopedia aku udh ikutin semua cara dan udh bener, semua barang yang kubeli belom Dateng pdhl udh sebulan lebih tau gak, aku kan penggunaan baru seharusnya aku dapet 0Rp TAPI KNP BARANG NYA HARUS BAYAR MAHAL SEDANGKAN BARANGNY BELOM DATENG SELAMA SEBULAN TAU GAK !!!!!!!!!!!, PDHL AKU PAKE YANG EXPRESS SEHARI DAN AKU BELI ITU SBLM AKU JALAN"" DAN DI HARI JALAN"" ITU AKU HARUS BELI BARANG DITOKO TERDEKATKU!!.Mohon untuk diperbaik apl nya",1
13,"Sayang admin toped pasif bila ada pembatalan dr pembeli bahkan tdk bisa bantu hubungi penjual.. harus nunggu pembatalan otomatis.. sangat merugikan waktu pembeli. Masukan; agar di tambah fitur chat admin, pedagang dan penjual bila ada pembatalan.. jd admin bs memutuskan lsg refund.. jgn smp ada kesan dana pembeli parkir kelamaan di ovo atau toped.",2
14,"Izin ngasih saran aja, SEMOGA DI BACA, sebelumnya saya ingin sekali menikmati program WIB yg di tawarkan, saya pengguna Tokopedia sudah lumayan lama, tpi sampai sekarang saya blm pernah jadi beli di Tokopedia, bukan takut brng tidak sampai, atau takut di bohongi,BUKAN ITU. Kalau saya pribadi lumayan terganggu dengan desain aplikasinya, rumit dan berwarna warni , jadi membuat pusing untuk di lihat, terus selain itu banyak fitur fitur yg tudak pangsung di tampilkan. Itu yg membuat saya bingung.",4
15,"Updetan trkhir kenapa toped jadi lemot. Koneksi terputus, tidak ada jaringan la. Di market sebelah lncar jaya. Brti mslhny di toped. Benarin dong. Msak mau belanja, dsruh coba lagi, coba lagi. Emgny aplikasi coba coba.",4
16,"Tolong kepada pihak tokopedia bertanggung jawab! Saya sudah melakukan pembayaran Virtual Account sebanyak 2x belanja. Pertama pembayaran langsung terverifikasi. Belanja Yang kedua sudah 12 jam pembayaran belum terverifikasi padahal nomor VA, jumlah uang sudah sesuai dan transfer berhasil. Saya pernah uang saya hilang 500rb ditokopedia jadi tolong jangan sampai uang saya hangus lagi!!! Perusahaan besar harusnya sistem canggih jangan bug terus!!!",1
17,"Untuk tokopedia tolong dong untuk penjual yang ga mau klik proses ,buatkan kolom untuk pembeli , agar bisa langsung cancel , time is money boz. Masa harus nunggu 1x24 jam. Klo sperti itukan saya ga bisa mencari penjual yg bner2 responsipmo .",5
18,"Tokopedia pemberi harapan palsu... Saya sengaja kasih rating 1 agar semua orang tau, bahwa cs tokopedia tidak benar benar serius menangani kasus yang sedang saya alami... Saya sangat kecewa karena cashback yg di janjikan dalam waktu maximal 2x24jam tidak kunjung muncul. Apa perlu saya tutup akun terlebih dahulu ?!?! Permasalahan saya sudah di tangani oleh Bapak Iwan cs dari tokopedia dari tgl 22/11/20 tapi ini sudah tgl 26/11/20 cashback tidak di muncul padahal di janjikan maximal 2x24jam.",1
